timestamp,seed,gen_time,stage_time,copy_time
2025-05-09 22:10:48,4394,408,30,82
2025-05-09 22:10:49,4394,380,31,82
2025-05-09 22:10:50,4394,397,35,82
2025-05-09 22:10:51,4394,418,33,82
2025-05-09 22:10:52,4394,435,34,82
2025-05-09 22:10:53,4394,422,34,82
2025-05-09 22:10:54,4394,430,31,82
2025-05-09 22:10:55,4394,377,32,82
2025-05-09 22:10:56,4394,393,30,82
2025-05-09 22:10:57,4394,379,30,82
2025-05-09 22:10:58,4394,387,32,82
2025-05-09 22:10:59,4394,371,30,82
2025-05-09 22:11:00,4394,386,30,82
2025-05-09 22:11:01,4394,369,37,82
2025-05-09 22:11:02,4394,420,33,82
2025-05-09 22:11:03,4394,409,33,82
2025-05-09 22:11:04,4394,428,37,82
2025-05-09 22:11:05,4394,405,31,82
2025-05-09 22:11:06,4394,389,31,82
2025-05-09 22:11:07,4394,375,31,82
2025-05-09 22:11:08,4394,385,31,82
2025-05-09 22:11:09,4394,373,32,82
2025-05-09 22:11:10,4394,377,39,82
2025-05-09 22:11:11,4394,385,32,82
2025-05-09 22:11:12,4394,387,33,82
2025-05-09 22:11:13,4394,409,33,82
2025-05-09 22:11:14,4394,422,36,82
2025-05-09 22:11:15,4394,455,37,82
2025-05-09 22:13:31,5849,434,42,82
2025-05-09 22:13:32,5849,517,38,82
2025-05-09 22:13:33,5849,410,36,82
2025-05-09 22:13:34,5849,397,39,82
2025-05-09 22:13:35,5849,380,36,82
2025-05-09 22:13:36,5849,404,36,82
2025-05-09 22:13:37,5849,396,36,82
2025-05-09 22:13:38,5849,385,36,82
2025-05-09 22:13:39,5849,380,35,82
2025-05-09 22:13:40,5849,418,35,82
2025-05-09 22:13:41,5849,389,43,82
2025-05-09 22:13:42,5849,390,35,82
2025-05-09 22:13:43,5849,395,37,82
2025-05-09 22:13:44,5849,418,43,82
2025-05-09 22:13:45,5849,407,37,82
2025-05-09 22:13:46,5849,400,36,82
2025-05-09 22:13:47,5849,391,36,82
2025-05-09 22:13:48,5849,404,35,82
2025-05-09 22:13:49,5849,396,39,82
2025-05-09 22:13:50,5849,391,36,82
2025-05-09 22:13:51,5849,385,35,82
2025-05-09 22:13:52,5849,409,35,82
2025-05-09 22:13:53,5849,400,35,82
2025-05-09 22:13:54,5849,399,36,82
2025-05-09 22:13:55,5849,395,35,82
2025-05-09 22:13:56,5849,412,34,82
2025-05-09 22:13:57,5849,396,35,82
2025-05-09 22:13:58,5849,404,39,82
2025-05-09 22:13:59,5849,402,36,82
2025-05-09 22:14:00,5849,417,38,82
2025-05-09 22:14:01,5849,395,36,82
2025-05-09 22:14:02,5849,385,37,82
2025-05-09 22:14:03,5849,391,40,82
2025-05-09 22:14:04,5849,417,35,82
2025-05-09 22:14:05,5849,400,36,82
2025-05-09 22:14:06,5849,391,37,82
2025-05-09 22:14:07,5849,394,36,82
2025-05-09 22:14:08,5849,415,35,82
2025-05-09 22:14:09,5849,395,36,82
2025-05-09 22:14:10,5849,389,35,82
2025-05-09 22:14:11,5849,384,35,82
2025-05-09 22:14:12,5849,411,37,82
2025-05-09 22:14:13,5849,413,37,82
2025-05-09 22:14:14,5849,386,40,82
2025-05-09 22:14:15,5849,406,38,82
2025-05-09 22:14:16,5849,418,40,82
2025-05-09 22:14:17,5849,397,38,82
