frame_number,frame_time_ms,total_steps,rays_hit,rays_missed,min_steps,max_steps
271,9.9061,222699423,1369399,2317001,6,1909
272,8.9720,219541269,1564028,2122372,2,1768
273,9.5133,211645179,1752734,1933666,5,1810
274,10.1631,200495172,1937340,1749060,4,1869
275,9.3521,184177463,2128662,1557738,2,2001
276,9.1724,164630846,2323081,1363319,3,2001
277,9.6477,142683417,2530672,1155728,3,2001
278,8.8480,120970393,2755354,931046,2,2001
279,8.7653,98794109,3003262,683138,4,1968
280,8.5511,78451385,3277164,409236,3,1852
281,8.0874,63511709,3553502,132898,3,2001
282,2.5707,47059744,3637431,48969,4,1107
283,2.3170,39221716,3629184,57216,2,614
284,2.2837,34057679,3649930,36470,3,608
285,2.0716,33896121,3651133,35267,2,606
286,2.2120,36237853,3636856,49544,2,603
287,2.0065,34674954,3639230,47170,3,606
288,1.9695,32850845,3643726,42674,4,564
289,1.8682,30742513,3657337,29063,4,592
290,2.0065,30513758,3661429,24971,3,618
291,2.1605,32805207,3658133,28267,2,614
292,2.2306,34431491,3657896,28504,3,595
293,2.2286,35841627,3657652,28748,3,616
294,2.4244,40060330,3652704,33696,3,720
295,2.7552,47350750,3659924,26476,3,621
296,3.5990,55080254,3478770,207630,2,701
297,3.5103,66358655,3185427,500973,3,754
298,3.6875,78927480,2919195,767205,3,769
299,3.2576,91355342,2682457,1003943,4,564
300,3.0952,104959553,2467936,1218464,3,624
301,3.3775,118956549,2271127,1415273,3,502
302,3.2816,133471860,2080766,1605634,4,510
303,3.3970,146086707,1894348,1792052,4,505
304,3.7418,156606590,1700462,1985938,6,516
305,3.8658,164563582,1508627,2177773,7,510
306,4.1703,169989030,1312145,2374255,8,484
307,4.1477,174760950,1104794,2581606,10,522
308,4.1096,179291320,880266,2806134,12,479
309,4.4836,185166547,627414,3058986,19,498
310,4.3547,192292429,342531,3343869,25,472
311,4.2939,200471201,15385,3671015,27,458
312,3.0114,207163497,0,3686400,102,439
313,3.2489,216785868,0,3686400,109,435
314,3.4305,227794752,0,3686400,119,483
315,3.4135,239703495,0,3686400,130,499
316,3.9360,251522652,0,3686400,143,495
317,3.8528,263560126,0,3686400,156,489
318,3.9661,276559217,0,3686400,161,492
319,3.8312,271883395,0,3686400,161,491
320,3.8301,266084459,0,3686400,149,493
321,3.8417,261475661,0,3686400,137,490
322,3.8665,257260642,0,3686400,124,492
323,3.7755,254122455,0,3686400,114,486
324,3.5837,250656673,0,3686400,104,489
325,3.7056,245564077,5744,3680656,84,494
326,7.6739,235282306,310168,3376232,27,897
327,7.4620,218796966,602677,3083723,19,853
328,6.7206,206509469,853331,2833069,13,769
329,6.3746,196915846,1083345,2603055,11,895
330,5.6671,189837202,1296835,2389565,7,834
331,7.9892,184443216,1495793,2190607,6,843
332,6.4143,179376406,1690937,1995463,5,769
333,9.8604,174030168,1867767,1818633,4,1412
